entropy_1,entropy_2,mean_entropy_3,std_entropy_3,mean_entropy_3_scaled,std_entropy_3_scaled,n_bins,S,x1,x2
0.9435101346706889,0.6951533369561016,3.618739522458565,0.03265936153964393,0.9046848806146413,0.008164840384910983,16.0,1.0,0.8560562830025887,1.8788102419345725
0.9340680553754911,0.7395669234392042,2.7279046921409056,0.0244786952984052,0.860558117589442,0.007722168596186795,9.0,1.0,1.3837343310949155,1.6853625157470282
0.9199534913630798,0.7619892744665404,4.0921015118205455,0.02109237358021513,0.8925049029685435,0.004600337206007146,24.0,1.0,0.5413171102626515,0.3425771368973503
0.9159448069797607,0.7219280948873623,3.9983537414864463,0.015180917479837313,0.9251319442857715,0.0035125335606105,20.0,1.0,-0.4393467668128535,1.8363017510818231
0.9149263727797275,0.7745085286615678,3.9558639112621123,0.02185940874372479,0.9153007232910035,0.005057790935851873,20.0,1.0,-1.848033472956805,-1.0699643003594317
0.9521953766259575,0.7583373241205442,3.6092787759159726,0.015416660221310146,0.9023196939789931,0.0038541650553275365,16.0,1.0,0.9346603168588592,0.0378511573598867
0.9010891843657631,0.7999936823666834,3.6389882128140245,0.03340747681202107,0.9097470532035061,0.008351869203005267,16.0,1.0,0.4985636637228576,-1.579001679841159
0.9010891843657631,0.7900156893384529,3.1985202167519695,0.025591352761530704,0.8922046509854846,0.007138527322498538,12.0,1.0,-0.8273165687333588,0.4217066135486343
0.9189610585062931,0.731816079376955,3.48234355875838,0.026014551475278692,0.870585889689595,0.006503637868819673,16.0,1.0,1.3143558986288244,0.6076601652261528
0.9257724232145381,0.7471781328795917,3.5498251793509317,0.03071734443805224,0.8874562948377329,0.00767933610951306,16.0,1.0,0.2821462794581943,0.207156444341656
0.9228919718923306,0.7601675029619656,2.7822810192002234,0.03222925292356347,0.8777119389052702,0.010167197302428032,9.0,1.0,-0.874731147017228,-0.1105269167565576
0.9021932572871765,0.7298563169471575,3.6114000207905286,0.0319457841401664,0.9028500051976321,0.0079864460350416,16.0,1.0,-0.0416577396214368,-0.7653802664602943
